App_Store,Category,Type,Content_Rating,Avg_App_Price,Avg_review_count,Avg_User_Rating
Google,ART_AND_DESIGN,Free,12+,0,86942,4.466666667
Google,ART_AND_DESIGN,Free,17+,0,24892.22414,4.101724138
Google,ART_AND_DESIGN,Free,9+,0,7699,4.7
Google,ART_AND_DESIGN,Paid,17+,1.99,722,4.733333333
Google,BOOKS_AND_REFERENCE,Free,12+,0,376022.3659,4.163414634
Google,BOOKS_AND_REFERENCE,Free,17+,0,43202.34434,3.632075472
Google,BOOKS_AND_REFERENCE,Free,9+,0,95541.25,3.9
Google,BOOKS_AND_REFERENCE,Paid,12+,2.99,7,0
Google,BOOKS_AND_REFERENCE,Paid,17+,4.325185185,66.25925926,1.266666667
Google,BUSINESS,Free,12+,0,308.6153846,1.323076923
Google,BUSINESS,Free,17+,0,32184.35417,2.743981481
Google,BUSINESS,Free,9+,0,30,0
Google,BUSINESS,Paid,17+,13.23357143,3347.785714,3.3
Google,Catalogs,Free,12+,0,87266.26667,4.24
Google,Catalogs,Free,17+,0,308197.8547,3.519553073
Google,Catalogs,Free,4+,0,1186,4.1
Google,Catalogs,Free,9+,0,1072.666667,3
Google,Catalogs,Paid,17+,4.775189873,2176.417722,3.325316456
Google,EDUCATION,Free,12+,0,256079,4.8
Google,EDUCATION,Free,17+,0,266258.958,4.33986014
Google,EDUCATION,Free,9+,0,153753.875,4.4875
Google,EDUCATION,Paid,17+,4.49,8661.25,4.75
Google,ENTERTAINMENT,Free,12+,0,502765.2396,4.1
Google,ENTERTAINMENT,Free,17+,0,225919.9783,4.163043478
Google,ENTERTAINMENT,Free,9+,0,102072.6,4.1
Google,ENTERTAINMENT,Paid,17+,3.99,5004.5,4.6
Google,FINANCE,Free,12+,0,10805.5,3.05
Google,FINANCE,Free,17+,0,50679.15362,3.688695652
Google,FINANCE,Paid,12+,399.99,129,4.1
Google,FINANCE,Paid,17+,156.3025,1441.8125,2.85625
Google,FOOD_AND_DRINK,Free,12+,0,86607.625,3.8625
Google,FOOD_AND_DRINK,Free,17+,0,71178.06957,3.530434783
Google,FOOD_AND_DRINK,Free,9+,0,797,4.3
Google,FOOD_AND_DRINK,Paid,17+,4.24,1698.5,4.35
Google,GAME,Free,12+,0,600795.7386,4.190522876
Google,GAME,Free,17+,0,1412839.854,4.038607595
Google,GAME,Free,9+,0,4156330.91,4.31147541
Google,GAME,Paid,12+,4.4704,14279.32,4.08
Google,GAME,Paid,17+,2.910816327,23403.42857,3.991836735
Google,GAME,Paid,9+,3.656666667,9750.222222,4.344444444
Google,HEALTH_AND_FITNESS,Free,12+,0,32419,3.635
Google,HEALTH_AND_FITNESS,Free,17+,0,124781.4128,3.761744966
Google,HEALTH_AND_FITNESS,Free,9+,0,1800.285714,3.414285714
Google,HEALTH_AND_FITNESS,Paid,17+,4.20875,2993.75,3.29375
Google,LIFESTYLE,Free,12+,0,202320.6854,3.761797753
Google,LIFESTYLE,Free,17+,0,115336.6249,3.613540511
Google,LIFESTYLE,Free,4+,0,1,0
Google,LIFESTYLE,Free,9+,0,1333115.069,3.992241379
Google,LIFESTYLE,Paid,12+,5.704,9899,4.46
Google,LIFESTYLE,Paid,17+,27.14662722,4969.017751,3.508284024
Google,LIFESTYLE,Paid,9+,4.466190476,240771.8095,4.295238095
Google,MAPS_AND_NAVIGATION,Free,12+,0,29267.5,4.4
Google,MAPS_AND_NAVIGATION,Free,17+,0,237159.155,3.676744186
Google,MAPS_AND_NAVIGATION,Free,9+,0,0,0
Google,MAPS_AND_NAVIGATION,Paid,17+,5.39,1437.6,3.86
Google,MEDICAL,Free,12+,0,238.6666667,3.066666667
Google,MEDICAL,Free,17+,0,4496.55942,3.073913043
Google,MEDICAL,Free,9+,0,205.3333333,3.616666667
Google,MEDICAL,Paid,12+,3.995,54.5,2.2
Google,MEDICAL,Paid,17+,13.48057692,310.0576923,3.432692308
Google,MEDICAL,Paid,9+,9.996666667,119.6666667,4.466666667
Google,Music,Free,12+,0,2251970,3.240625
Google,Music,Free,17+,0,2273133.844,3.580733945
Google,Music,Paid,17+,3.079259259,3119.037037,3.311111111
Google,NEWS_AND_MAGAZINES,Free,12+,0,209873.1176,3.844117647
Google,NEWS_AND_MAGAZINES,Free,17+,0,215763.8674,3.101657459
Google,NEWS_AND_MAGAZINES,Free,9+,0,124419.9394,3.956060606
Google,NEWS_AND_MAGAZINES,Paid,17+,1.99,100.5,4.8
Google,PARENTING,Free,12+,0,107,4.7
Google,PARENTING,Free,17+,0,16664.17544,3.571929825
Google,PARENTING,Paid,17+,4.79,4183,3.35
Google,PERSONALIZATION,Free,12+,0,799792.4643,2.201785714
Google,PERSONALIZATION,Free,17+,0,175557.1789,3.734552846
Google,PERSONALIZATION,Free,9+,0,184199.8,4.38
Google,PERSONALIZATION,Paid,17+,1.865487805,5483.621951,3.629268293
Google,PRODUCTIVITY,Free,12+,0,47466.55556,0.9
Google,PRODUCTIVITY,Free,17+,0,294088.0984,3.603108808
Google,PRODUCTIVITY,Free,9+,0,49,3.6
Google,PRODUCTIVITY,Paid,17+,8.961785714,6132.892857,2.703571429
Google,Photo & Video,Free,12+,0,2390804.972,4.155555556
Google,Photo & Video,Free,17+,0,533624.7348,3.892134831
Google,Photo & Video,Free,9+,0,60208.5,4.15
Google,Photo & Video,Paid,17+,5.564230769,9385.423077,3.430769231
Google,Reference,Free,17+,0,12346.59524,3.233333333
Google,Reference,Paid,17+,0.99,4,0
Google,SHOPPING,Free,12+,0,1276705.122,4.251020408
Google,SHOPPING,Free,17+,0,252318.2019,3.829326923
Google,SHOPPING,Paid,17+,2.74,242,4.5
Google,SOCIAL,Free,12+,0,4085657.694,3.564179104
Google,SOCIAL,Free,17+,0,211562.0157,3.573890339
Google,SOCIAL,Free,9+,0,11460.5,4.1
Google,SOCIAL,Paid,12+,6.49,1.333333333,0
Google,SOCIAL,Paid,17+,3.99,484.5714286,3.128571429
Google,SPORTS,Free,12+,0,278416.0625,3.88125
Google,SPORTS,Free,17+,0,189927.3261,3.418012422
Google,SPORTS,Free,9+,0,230376.2727,4.136363636
Google,SPORTS,Paid,17+,4.166666667,6276.458333,3.9
Google,TRAVEL_AND_LOCAL,Free,12+,0,148949.1667,3.383333333
Google,TRAVEL_AND_LOCAL,Free,17+,0,257108.9625,3.648333333
Google,TRAVEL_AND_LOCAL,Paid,17+,4.1625,1506.083333,2.733333333
Google,Utilities,Free,12+,0,271920,4.2
Google,Utilities,Free,17+,0,11050.1125,3.66
Google,Utilities,Free,9+,0,3574,4.3
Google,Utilities,Paid,17+,4.49,1387.666667,1.533333333
Google,WEATHER,Free,12+,0,4413.5,4.45
Google,WEATHER,Free,17+,0,205344.1739,3.852173913
Google,WEATHER,Free,9+,0,260137,4.4
Google,WEATHER,Paid,17+,4.0525,17055.125,3.825
Apple,Book,Free,12+,0,194.4,2.6
Apple,Book,Free,17+,0,47.25,1.875
Apple,Book,Free,4+,0,63487.75,3.75
Apple,Book,Free,9+,0,47829,4.5
Apple,Book,Paid,12+,3.99,78,5
Apple,Book,Paid,17+,5.99,57,2
Apple,Book,Paid,4+,4.692702703,348.1351351,4
Apple,Book,Paid,9+,3.49,32,2.5
Apple,Business,Free,4+,0,7491.117647,3.970588235
Apple,Business,Paid,17+,4.99,1151.5,4.25
Apple,Business,Paid,4+,8.047142857,4093.2,3.857142857
Apple,Catalogs,Free,17+,0,6672.5,2.5
Apple,Catalogs,Free,4+,0,667.75,2.875
Apple,Catalogs,Paid,12+,7.99,1309,4.5
Apple,Education,Free,12+,0,3456.5,4
Apple,Education,Free,17+,0,0,0
Apple,Education,Free,4+,0,7341.581818,3.65
Apple,Education,Free,9+,0,2968.25,4
Apple,Education,Paid,12+,5.156666667,10.16666667,2.416666667
Apple,Education,Paid,17+,8.99,676.5,3.25
Apple,Education,Paid,4+,5.840174216,641.1881533,3.526132404
