Serial_number,App_Size,App_Price,Installs,User_Rating,Content_Rating,Category,currency,Type
0,100788224,3.99,21292,4,4+,Games,USD,
1,158578688,0,161065,4,4+,Productivity,USD,
2,100524032,0,188583,3.5,4+,Weather,USD,
3,128512000,0,262241,4,12+,Shopping,USD,
4,92774400,0,985920,4.5,4+,Reference,USD,
5,10485713,0.99,8253,4,4+,Games,USD,
6,227795968,0,119487,4,4+,Finance,USD,
7,130242560,0,1126879,4,12+,Music,USD,
8,49250304,9.99,1117,4.5,4+,Utilities,USD,
9,70023168,3.99,7885,4,4+,Games,USD,
10,49618944,4.99,76720,4.5,4+,Games,USD,
11,227547136,7.99,105776,3.5,4+,Games,USD,
12,179979264,0,479440,3.5,17+,Utilities,USD,
13,160925696,0,119773,3.5,4+,Finance,USD,
14,55153664,4.99,6340,4.5,4+,Games,USD,
15,207907840,0,56194,4,4+,Travel,USD,
16,389879808,0,2974676,3.5,4+,Social Networking,USD,
17,167407616,0,223885,4,12+,Travel,USD,
18,147093504,0,402925,4,12+,Music,USD,
19,10735026,2.99,31456,4,4+,Games,USD,
20,70707916,1.99,2929,4.5,4+,Reference,USD,
21,6169600,2.99,11447,5,4+,Games,USD,
22,130583552,0,137951,4,4+,Sports,USD,
23,71203840,5.99,8,4.5,4+,Business,USD,
24,11423008,3.99,3241,4,4+,Music,USD,
25,188017664,0,5795,3.5,4+,Health & Fitness,USD,
26,4765696,0,42316,3,9+,Games,USD,
27,287933440,0,123215,3.5,4+,Productivity,USD,
28,4263936,4.99,782,4,4+,Music,USD,
29,172772352,9.99,3449,4,4+,Weather,USD,
30,273844224,0,71856,3.5,4+,Social Networking,USD,
31,40216576,1.99,13350,4.5,12+,Health & Fitness,USD,
32,2386944,0.99,137,3,4+,Entertainment,USD,
33,105431040,0,180087,3.5,12+,Games,USD,
34,44129280,0.99,33426,4,4+,Health & Fitness,USD,
35,116443136,0,293228,4,12+,Music,USD,
36,1646592,1.99,21609,3.5,9+,Entertainment,USD,
37,30016512,4.99,4684,4,4+,Utilities,USD,
38,29518848,2.99,2104,4.5,17+,Weather,USD,
39,66872320,2.99,41633,4,9+,Games,USD,
40,45229056,2.99,3610,4.5,4+,Photo & Video,USD,
41,127470592,0,4677,3,12+,Music,USD,
42,44241920,3.99,30,3.5,4+,Navigation,USD,
43,107983872,0,48905,4.5,4+,Music,USD,
44,8044544,4.99,32,3,4+,Navigation,USD,
45,37214208,0,446185,3.5,4+,Travel,USD,
46,60320768,1.99,21825,3,9+,Entertainment,USD,
47,100849664,0,508808,3,4+,Games,USD,
48,72748032,0,57500,3,4+,Sports,USD,
49,32164864,1.99,2576,4,4+,Games,USD,
50,69079040,1.99,1572,4,4+,Weather,USD,
51,82037760,2.99,3292,3,4+,Business,USD,
52,150195200,4.99,8932,4.5,4+,Education,USD,
53,199734272,0,495626,3.5,4+,Weather,USD,
54,13156352,0.99,812,3,4+,Lifestyle,USD,
55,30367744,2.99,1583,3.5,12+,Lifestyle,USD,
56,93420544,0,113936,4.5,4+,Food & Drink,USD,
57,31505408,4.99,2027,4,4+,Entertainment,USD,
58,25997312,3.99,768,4,4+,Education,USD,
59,182054912,0,373835,4,4+,Health & Fitness,USD,
60,138754048,0,108131,3,4+,Shopping,USD,
61,13564835,0.99,18943,3.5,4+,Games,USD,
62,133688320,0,126312,3.5,4+,Shopping,USD,
63,55205888,4.99,35735,4,4+,Games,USD,
64,46922752,4.99,410,3,4+,Utilities,USD,
65,63283200,12.99,1390,4.5,4+,Music,USD,
66,53426176,0,38,3.5,4+,Music,USD,
67,39505920,0,233270,4.5,4+,Finance,USD,
68,210088960,21.99,64,4.5,4+,Reference,USD,
69,36399104,0,109349,3.5,12+,Food & Drink,USD,
70,115143680,0,2229,3.5,17+,News,USD,
71,56481792,1.99,14970,3.5,4+,Navigation,USD,
72,181941248,0,144214,3.5,4+,Weather,USD,
73,162891776,0,232940,4,4+,Finance,USD,
74,98108416,0,48407,3,12+,News,USD,
75,54088704,0.99,5531,3.5,4+,Utilities,USD,
76,50155520,1.99,3393,4,4+,Education,USD,
77,23936000,0,65016,3.5,4+,Utilities,USD,
78,145293312,0.99,187529,4,9+,Entertainment,USD,
79,140367872,0,33969,3.5,4+,Health & Fitness,USD,
80,281244672,0,48822,3.5,4+,Finance,USD,
81,66695168,1.99,59155,4.5,4+,Games,USD,
82,169747456,0,252076,3.5,4+,Book,USD,
83,41691136,1.99,4913,4,9+,Games,USD,
85,55803904,0.99,16567,4.5,4+,Games,USD,
86,188956672,0,187315,2,17+,Games,USD,
87,22185984,2.99,4781,4.5,4+,Music,USD,
88,66160640,3.99,94,4.5,4+,Games,USD,
89,28135424,0.99,29554,4,4+,Photo & Video,USD,
90,27962441,0.99,32988,4,12+,Games,USD,
91,133238784,0,373519,3.5,4+,Social Networking,USD,
92,151573504,0,334293,4,17+,Social Networking,USD,
93,27069440,1.99,2302,3.5,4+,Photo & Video,USD,
94,101259264,0,60659,3,17+,Social Networking,USD,
95,168192000,2.99,2562,4,4+,Games,USD,
96,17485824,4.99,3042,3.5,4+,Finance,USD,
97,5234688,0.99,338,2.5,4+,Weather,USD,
98,237913088,2.99,16434,4.5,4+,Health & Fitness,USD,
99,233513984,2.99,10046,4.5,4+,Health & Fitness,USD,
100,110420992,0,29107,3,12+,News,USD,
101,47774720,1.99,878,4,17+,Games,USD,
102,22259712,0.99,1140,3.5,4+,Games,USD,
103,431771648,2.99,35074,4.5,4+,Games,USD,
104,120357888,0,59639,3,17+,Sports,USD,
105,90828800,4.99,2913,4,4+,Health & Fitness,USD,
106,30796800,0,39722,3,4+,Photo & Video,USD,
107,151397376,0,81006,3.5,4+,Entertainment,USD,
108,46880768,0,53465,3.5,4+,Games,USD,
109,48741376,0.99,395261,4.5,4+,Games,USD,
110,17145856,1.99,2021,4.5,4+,Utilities,USD,
111,25808896,0,182,3,17+,Entertainment,USD,
112,81924096,0,291787,4,4+,Entertainment,USD,
113,19451904,1.99,2441,4,17+,Utilities,USD,
114,118683648,0.99,1372,4,12+,Games,USD,
115,723764224,249.99,773,4,4+,Education,USD,
116,111275008,0,200047,4,4+,Reference,USD,
118,120725504,0,148160,4.5,4+,Sports,USD,
119,68491264,0,108507,3,4+,Utilities,USD,
120,122153984,0,46,3,4+,Entertainment,USD,
121,122315776,0,51427,4,4+,Photo & Video,USD,
122,17010688,0.99,53821,3.5,12+,Games,USD,
123,3691520,0,38681,4,4+,Business,USD,
124,31387648,0.99,17776,4,4+,Games,USD,
125,135044096,0,287589,4.5,4+,Social Networking,USD,
126,55815168,2.99,7308,4,4+,Productivity,USD,
127,132632576,0,342969,4.5,4+,Lifestyle,USD,
128,270729216,4.99,6093,4,4+,Games,USD,
129,39827456,4.99,5452,4.5,9+,Games,USD,
130,57328640,0,43064,3,4+,Finance,USD,
131,40717312,0,64,4.5,4+,Music,USD,
132,141136896,0,220,4.5,4+,Productivity,USD,
133,146228224,0,114096,4.5,4+,Games,USD,
134,52294656,9.99,1296,4,4+,Productivity,USD,
135,16332800,2.99,1293,4,4+,Travel,USD,
136,164382720,0,19946,4,4+,Finance,USD,
137,45712384,0,88613,4,4+,Entertainment,USD,
138,16086016,0.99,107727,3.5,4+,Games,USD,
139,223805440,0.99,21416,4.5,4+,Games,USD,
140,22159360,2.99,533,4,4+,Games,USD,
141,20542280,2.99,32650,3.5,12+,Music,USD,
142,130637824,0,164963,3.5,4+,Social Networking,USD,
143,8900608,1.99,141,3,4+,Weather,USD,
144,180500480,0,80424,4,4+,Shopping,USD,
145,19853312,0.99,17190,4,4+,Games,USD,
146,42926080,0.99,7973,4,4+,Games,USD,
147,36692992,2.99,19621,4,4+,Games,USD,
148,36647936,3.99,7315,4,4+,Games,USD,
149,91697152,0,118,3,12+,News,USD,
150,51538944,0,290996,3.5,4+,Sports,USD,
151,8302592,3.99,2785,4,4+,Travel,USD,
152,430128128,6.99,54408,3.5,12+,Games,USD,
153,69960704,9.99,8138,4,4+,Games,USD,
154,767126,0,123190,3,4+,Education,USD,
155,12996628,0.99,23810,3.5,12+,Games,USD,
156,139545600,0,54192,4,4+,Sports,USD,
157,130394112,0,20953,4,4+,Sports,USD,
158,101925888,9.99,71609,4.5,12+,Music,USD,
159,52951040,0,32881,3.5,12+,News,USD,
160,80409600,0,23201,2.5,17+,Social Networking,USD,
161,137312256,0,17906,3,4+,Shopping,USD,
162,144412672,74.99,927,3.5,4+,Navigation,USD,
163,27746273,1.99,18920,3.5,9+,Games,USD,
164,119648256,0.99,30,3,4+,Finance,USD,
165,119574528,0,77,3,4+,Finance,USD,
166,79315968,0,104539,4.5,4+,Health & Fitness,USD,
167,12818432,0.99,4016,4,12+,Photo & Video,USD,
168,18165760,1.99,299,4,4+,Food & Drink,USD,
169,253834240,1.99,5758,4,12+,Games,USD,
170,69083136,0,5565,4.5,9+,Games,USD,
171,8573952,0.99,213092,3.5,9+,Games,USD,
172,127284224,0,150158,4.5,4+,Weather,USD,
173,81374398,4.99,6046,4,12+,Games,USD,
174,94139392,0,345046,4.5,4+,Navigation,USD,
175,13216994,0.99,35930,3.5,12+,Games,USD,
176,21010210,0.99,22557,4,4+,Games,USD,
177,35998720,0.99,292,3,17+,Sports,USD,
178,132510720,0,878563,4.5,12+,Music,USD,
179,37001216,0,22,3.5,4+,Food & Drink,USD,
180,64147456,0,10472,3.5,17+,Sports,USD,
181,100779008,0,115,4,17+,News,USD,
