App_Store,Category,Type,Content_Rating,Avg_App_Price,Avg_Review_Count,Avg_User_Rating
Apple,Book,Free,12+,0.0,194.4,2.6
Apple,Book,Free,17+,0.0,47.25,1.875
Apple,Book,Free,4+,0.0,63487.75,3.75
Apple,Book,Free,9+,0.0,47829.0,4.5
Apple,Book,Paid,12+,3.99,78.0,5.0
Apple,Book,Paid,17+,5.99,57.0,2.0
Apple,Book,Paid,4+,4.692702702702704,348.13513513513516,4.0
Apple,Book,Paid,9+,3.49,32.0,2.5
Apple,Business,Free,4+,0.0,7491.117647058823,3.9705882352941178
Apple,Business,Paid,17+,4.99,1151.5,4.25
Apple,Business,Paid,4+,8.047142857142859,4093.2,3.857142857142857
Apple,Catalogs,Free,17+,0.0,6672.5,2.5
Apple,Catalogs,Free,4+,0.0,667.75,2.875
Apple,Catalogs,Paid,12+,7.99,1309.0,4.5
Apple,Education,Free,12+,0.0,3456.5,4.0
Apple,Education,Free,17+,0.0,0.0,0.0
Apple,Education,Free,4+,0.0,7341.581818181819,3.65
Apple,Education,Free,9+,0.0,2968.25,4.0
Apple,Education,Paid,12+,5.156666666666667,10.166666666666666,2.4166666666666665
Apple,Education,Paid,17+,8.99,676.5,3.25
Apple,Education,Paid,4+,5.840174216027876,641.1881533101046,3.5261324041811846
Apple,Education,Paid,9+,2.49,864.5,4.5
Apple,Entertainment,Free,12+,0.0,16676.4776119403,3.3955223880597014
Apple,Entertainment,Free,17+,0.0,5617.609756097561,2.8536585365853657
Apple,Entertainment,Free,4+,0.0,14303.297872340425,3.627659574468085
Apple,Entertainment,Free,9+,0.0,15314.692307692309,3.5384615384615383
Apple,Entertainment,Paid,12+,1.8300000000000003,1359.36,3.22
Apple,Entertainment,Paid,17+,2.1400000000000006,694.1,3.425
Apple,Entertainment,Paid,4+,2.536875,813.0546875,3.41015625
Apple,Entertainment,Paid,9+,1.5354545454545452,11986.727272727272,3.9545454545454546
Apple,Finance,Free,17+,0.0,976.0,2.75
Apple,Finance,Free,4+,0.0,33261.67647058824,3.4705882352941178
Apple,Finance,Paid,4+,2.8361538461538465,882.8461538461538,3.4615384615384617
Apple,Food & Drink,Free,12+,0.0,13993.25,4.0625
