,App_Name,App_Size,currency,App_Price,Type,Review_count,User_Rating,Content_Rating,Category
0,PAC-MAN Premium,100788224,USD,3.99,Paid,21292,4.0,4+,Games
1,Evernote - stay organized,158578688,USD,0.0,Free,161065,4.0,4+,Productivity
2,"WeatherBug - Local Weather, Radar, Maps, Alerts",100524032,USD,0.0,Free,188583,3.5,4+,Weather
3,"eBay: Best App to Buy, Sell, Save Online Shopping",128512000,USD,0.0,Free,262241,4.0,12+,Shopping
4,Bible,92774400,USD,0.0,Free,985920,4.5,4+,Reference
5,Shanghai Mahjong,10485713,USD,0.99,Paid,8253,4.0,4+,Games
6,PayPal - Send and request money safely,227795968,USD,0.0,Free,119487,4.0,4+,Finance
7,Pandora - Music  Radio,130242560,USD,0.0,Free,1126879,4.0,12+,Music
8,PCalc - The Best Calculator,49250304,USD,9.99,Paid,1117,4.5,4+,Utilities
9,Ms PAC-MAN,70023168,USD,3.99,Paid,7885,4.0,4+,Games
10,Solitaire by MobilityWare,49618944,USD,4.99,Paid,76720,4.5,4+,Games
11,SCRABBLE Premium,227547136,USD,7.99,Paid,105776,3.5,4+,Games
12,Google  Search made just for mobile,179979264,USD,0.0,Free,479440,3.5,17+,Utilities
13,Bank of America - Mobile Banking,160925696,USD,0.0,Free,119773,3.5,4+,Finance
14,FreeCell,55153664,USD,4.99,Paid,6340,4.5,4+,Games
15,TripAdvisor Hotels Flights Restaurants,207907840,USD,0.0,Free,56194,4.0,4+,Travel
16,Facebook,389879808,USD,0.0,Free,2974676,3.5,4+,Social Networking
17,"Yelp - Nearby Restaurants, Shopping  Services",167407616,USD,0.0,Free,223885,4.0,12+,Travel
18,"Shazam - Discover music, artists, videos  lyrics",147093504,USD,0.0,Free,402925,4.0,12+,Music
19,Crash Bandicoot Nitro Kart 3D,10735026,USD,2.99,Paid,31456,4.0,4+,Games
20,iQuran,70707916,USD,1.99,Paid,2929,4.5,4+,Reference
21,: Sudoku +,6169600,USD,2.99,Paid,11447,5.0,4+,Games
22,"Yahoo Sports - Teams, Scores, News  Highlights",130583552,USD,0.0,Free,137951,4.0,4+,Sports
23,Mileage Log | Fahrtenbuch,71203840,USD,5.99,Paid,8,4.5,4+,Business
24,Cleartune - Chromatic Tuner,11423008,USD,3.99,Paid,3241,4.0,4+,Music
25,Lifesum  Inspiring healthy lifestyle app,188017664,USD,0.0,Free,5795,3.5,4+,Health & Fitness
26,Hangman,4765696,USD,0.0,Free,42316,3.0,9+,Games
27,iTranslate - Language Translator  Dictionary,287933440,USD,0.0,Free,123215,3.5,4+,Productivity
28,TouchOSC,4263936,USD,4.99,Paid,782,4.0,4+,Music
29,RadarScope,172772352,USD,9.99,Paid,3449,4.0,4+,Weather
30,LinkedIn,273844224,USD,0.0,Free,71856,3.5,4+,Social Networking
31,Period Tracker Deluxe,40216576,USD,1.99,Paid,13350,4.5,12+,Health & Fitness
32,Election 2016 Map,2386944,USD,0.99,Paid,137,3.0,4+,Entertainment
33,Blackjack by MobilityWare,105431040,USD,0.0,Free,180087,3.5,12+,Games
34,White Noise,44129280,USD,0.99,Paid,33426,4.0,4+,Health & Fitness
35,iHeartRadio  Free Music  Radio Stations,116443136,USD,0.0,Free,293228,4.0,12+,Music
36,Line Rider iRide,1646592,USD,1.99,Paid,21609,3.5,9+,Entertainment
37,Deliveries: a package tracker,30016512,USD,4.99,Paid,4684,4.0,4+,Utilities
38,Hurricane Pro,29518848,USD,2.99,Paid,2104,4.5,17+,Weather
39,Fieldrunners,66872320,USD,2.99,Paid,41633,4.0,9+,Games
40,Juxtaposer,45229056,USD,2.99,Paid,3610,4.5,4+,Photo & Video
41,Deezer - Listen to your Favorite Music  Playlists,127470592,USD,0.0,Free,4677,3.0,12+,Music
42,iStellar,44241920,USD,3.99,Paid,30,3.5,4+,Navigation
43,Sonos Controller,107983872,USD,0.0,Free,48905,4.5,4+,Music
44,Avertinoo,8044544,USD,4.99,Paid,32,3.0,4+,Navigation
45,Google Earth,37214208,USD,0.0,Free,446185,3.5,4+,Travel
46,iFart - The Original Fart Sounds App,60320768,USD,1.99,Paid,21825,3.0,9+,Entertainment
47,PAC-MAN,100849664,USD,0.0,Free,508808,3.0,4+,Games
48,FOX Sports Mobile,72748032,USD,0.0,Free,57500,3.0,4+,Sports
49,First Words Animals,32164864,USD,1.99,Paid,2576,4.0,4+,Games
50,WeatherPro,69079040,USD,1.99,Paid,1572,4.0,4+,Weather
51,HotSchedules,82037760,USD,2.99,Paid,3292,3.0,4+,Business
52,Star Walk - Find Stars And Planets in Sky Above,150195200,USD,4.99,Paid,8932,4.5,4+,Education
53,"The Weather Channel: Forecast, Radar  Alerts",199734272,USD,0.0,Free,495626,3.5,4+,Weather
54,Big Day - Event Countdown,13156352,USD,0.99,Paid,812,3.0,4+,Lifestyle
55,12 Steps AA Companion - Alcoholics Anonymous,30367744,USD,2.99,Paid,1583,3.5,12+,Lifestyle
56,OpenTable - Restaurant Reservations,93420544,USD,0.0,Free,113936,4.5,4+,Food & Drink
57,VLC Remote,31505408,USD,4.99,Paid,2027,4.0,4+,Entertainment
58,gFlashPro - Flashcards  Tests,25997312,USD,3.99,Paid,768,4.0,4+,Education
59,Lose It  Weight Loss Program and Calorie Counter,182054912,USD,0.0,Free,373835,4.0,4+,Health & Fitness
60,Target,138754048,USD,0.0,Free,108131,3.0,4+,Shopping
61,Fish Tycoon,13564835,USD,0.99,Paid,18943,3.5,4+,Games
62,"Amazon App: shop, scan, compare, and read reviews",133688320,USD,0.0,Free,126312,3.5,4+,Shopping
63,Touchgrind,55205888,USD,4.99,Paid,35735,4.0,4+,Games
64,ProPresenter Remote,46922752,USD,4.99,Paid,410,3.0,4+,Utilities
65,iReal Pro - Music Book  Play Along,63283200,USD,12.99,Paid,1390,4.5,4+,Music
66,NRJ Radio,53426176,USD,0.0,Free,38,3.5,4+,Music
67,Chase Mobile,39505920,USD,0.0,Free,233270,4.5,4+,Finance
68,Allrecipes Dinner Spinner,36399104,USD,0.0,Free,109349,3.5,12+,Food & Drink
69,MotionX GPS,56481792,USD,1.99,Paid,14970,3.5,4+,Navigation
70,AccuWeather - Weather for Life,181941248,USD,0.0,Free,144214,3.5,4+,Weather
71,"Mint: Personal Finance, Budget, Bills  Money",162891776,USD,0.0,Free,232940,4.0,4+,Finance
72,ABC News - US  World News + Live Video,98108416,USD,0.0,Free,48407,3.0,12+,News
73,Rowmote: Remote Control for Mac,54088704,USD,0.99,Paid,5531,3.5,4+,Utilities
74,Peekaboo Barn,50155520,USD,1.99,Paid,3393,4.0,4+,Education
75,Speedtest by Ookla,23936000,USD,0.0,Free,65016,3.5,4+,Utilities
76,Pocket God,145293312,USD,0.99,Paid,187529,4.0,9+,Entertainment
77,Nike+ Training Club - Workouts  Fitness Plans,140367872,USD,0.0,Free,33969,3.5,4+,Health & Fitness
